CategoryID,Category Path
39450,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Napkins"
163110,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Placemats"
39451,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Runners"
39453,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Tablecloths"
39454,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Towels"
2220,"Antiques > Linens & Textiles (Pre-1930) > Kitchen & Table Linens > Other Antique Table Linens"
163109,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Collars & Cuffs"
39445,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Doilies"
39446,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Runners"
39447,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Tablecloths"
39448,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Trim & Edging"
2219,"Antiques > Linens & Textiles (Pre-1930) > Lace, Crochet & Doilies > Other Antique Lace & Crochet"
63624,"Antiques > Linens & Textiles (Pre-1930) > Pillows"
2221,"Antiques > Linens & Textiles (Pre-1930) > Quilts > Completed Quilts"
63634,"Antiques > Linens & Textiles (Pre-1930) > Quilts > Quilt Blocks"
170064,"Antiques > Linens & Textiles (Pre-1930) > Quilts > Quilt Tops"
2223,"Antiques > Linens & Textiles (Pre-1930) > Samplers"
2224,"Antiques > Linens & Textiles (Pre-1930) > Tapestries"
171178,"Antiques > Linens & Textiles (Pre-1930) > Price Guides & Publications"
362,"Antiques > Linens & Textiles (Pre-1930) > Other Antique Textiles"
23048,"Antiques > Manuscripts"
98448,"Antiques > Maps, Atlases & Globes > Africa Maps"
98450,"Antiques > Maps, Atlases & Globes > Asia Maps"
98462,"Antiques > Maps, Atlases & Globes > Australia/Oceania Maps"
98452,"Antiques > Maps, Atlases & Globes > Central America/Caribbean Maps"
98454,"Antiques > Maps, Atlases & Globes > Europe Maps"
179654,"Antiques > Maps, Atlases & Globes > North America Maps"
98464,"Antiques > Maps, Atlases & Globes > South America Maps"
98466,"Antiques > Maps, Atlases & Globes > World Maps"
184438,"Antiques > Maps, Atlases & Globes > Celestial Maps"
184439,"Antiques > Maps, Atlases & Globes > Curiosities Maps"
63595,"Antiques > Maps, Atlases & Globes > Digital Maps"
98468,"Antiques > Maps, Atlases & Globes > World & Celestial Globes"
37964,"Antiques > Maps, Atlases & Globes > Map & Globe Mixed Lots"
151725,"Antiques > Maps, Atlases & Globes > Map & Globe Reproductions"
63615,"Antiques > Maritime > Anchors"
63617,"Antiques > Maritime > Diving Helmets"
37968,"Antiques > Maritime > Fishing Nets & Floats"
163090,"Antiques > Maritime > Harpoons"
63616,"Antiques > Maritime > Maritime Bells, Whistles & Horns"
163082,"Antiques > Maritime > Maritime Blueprints"
184484,"Antiques > Maritime > Maritime Cannons & Cannon Balls"
163084,"Antiques > Maritime > Maritime Cleats & Chocks"
37966,"Antiques > Maritime > Maritime Clocks"
37967,"Antiques > Maritime > Maritime Compasses"
184485,"Antiques > Maritime > Maritime Flags, Ensigns & Pennants"
156318,"Antiques > Maritime > Maritime Folk Art"
37969,"Antiques > Maritime > Maritime Lamps & Lighting"
163083,"Antiques > Maritime > Maritime Navigational Charts"
37971,"Antiques > Maritime > Maritime Navigational Instruments"
163085,"Antiques > Maritime > Maritime Parallel Rules"
163086,"Antiques > Maritime > Maritime Plaques & Signs"
63618,"Antiques > Maritime > Maritime Portholes & Hatches"
171175,"Antiques > Maritime > Maritime Price Guides & Publications"
163087,"Antiques > Maritime > Maritime Propellers"
163088,"Antiques > Maritime > Maritime Pulleys"
156319,"Antiques > Maritime > Maritime Reproductions"
63619,"Antiques > Maritime > Maritime Scrimshaw Replicas"
163089,"Antiques > Maritime > Maritime Telegraphs"
37972,"Antiques > Maritime > Maritime Telescopes"
37973,"Antiques > Maritime > Maritime Wheels"
37970,"Antiques > Maritime > Model Ships"
66638,"Antiques > Maritime > Other Maritime Antiques"
